"HOUSEID","PERSONID","WTPERFIN","WTPERFIN5D","WTPERFIN2D","R_AGE","R_SEX","R_RELAT","WORKER","DRIVER","R_RACE","GCDWORK","OUTOFTWN","USEPUBTR","R_RACE_IMP","R_HISP","PROXY","WHOPROXY","EDUC","LAST30_TAXI","LAST30_RDSHR","LAST30_ESCT","LAST30_PT","LAST30_MTRC","LAST30_WALK","LAST30_BIKE","LAST30_BKSHR","TAXISERVICE","RIDESHARE22","ESCOOTERUSED","PTUSED","TRNPASS","MCTRANSIT","WALKTRANSIT","BIKETRANSIT","BIKESHARE22","USAGE1","USAGE2_1","USAGE2_2","USAGE2_3","USAGE2_4","USAGE2_5","USAGE2_6","USAGE2_7","USAGE2_8","USAGE2_9","USAGE2_10","QACSLAN1","QACSLAN3","PAYPROF","PRMACT","EMPLOYMENT2","DRIVINGOCCUPATION","DRIVINGVEHICLE","WRKLOC","WKFMHM22","WRKTRANS","EMPPASS","SCHOOL1","STUDE","SCHTYP","SCHOOL1C","SCHTRN1","DELIVER","DELIV_GOOD","DELIV_FOOD","DELIV_GROC","DELIV_PERS","RET_HOME","RET_PUF","RET_AMZ","RET_STORE","MEDCOND","MEDCOND6","W_CANE","W_WKCR","W_VISIMP","W_SCCH","W_CHAIR","W_NONE","CONDTRAV","CONDRIDE","CONDNIGH","CONDRIVE","CONDPUB","CONDSPEC","CONDSHARE","CONDNONE","CONDRF","FRSTHM","PARK","PARKHOME","PARKHOMEAMT","PARKHOMEAMT_PAMOUNT","PARKHOMEAMT_PAYTYPE","SAMEPLC","COV1_WK","COV1_SCH","COV1_PT","COV1_OHD","COV2_WK","COV2_SCH","COV2_PT","COV2_OHD","CNTTDTR","R_SEX_IMP","NUMADLT","HOMEOWN","RAIL","CENSUS_D","CENSUS_R","HH_HISP","DRVRCNT","CDIVMSAR","HHFAMINC","HH_RACE","HHSIZE","HHVEHCNT","LIF_CYC","MSACAT","MSASIZE","TRAVDAY","URBAN","URBANSIZE","URBRUR","TDAYDATE","WRKCOUNT","STRATUMID","HHFAMINC_IMP","WBHUR","SBHUR","WTHTNRNT","WTPPOPDN","WTRESDN","WTEEMPDN","WBHTNRNT","WBPPOPDN","WBRESDN","STHTNRNT","STPPOPDN","STRESDN","STEEMPDN","SBHTNRNT","SBPPOPDN","SBRESDN","HBHUR","HTHTNRNT","HTPPOPDN","HTRESDN","HTEEMPDN","HBHTNRNT","HBPPOPDN","HBRESDN"
"9000013002","01",3938.688806,0,13363.8093550292,39,"02","07","02","01","01",-1,"02","02","01","02","01","-1","07","02","02","02","02","02","01","02","-1",-1,-1,-1,-1,"-1",-1,10,-1,-1,"02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","02","-1","02","03",-1,"-1","-1","-1","-1","-1","-1","02","-1","-1","-1","-1",10,10,0,0,0,0,2,1,2,"02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","01","02","-1","-1",-1,"-1","-1","-1","-1","03","02","-1","-1","01","-1",2,"02",2,"01","01","01","01","02",2,"11","11","01",4,2,"04","01","05","01","01","04","01","202202",1,"1021","11","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","04","20","04","02","05","05","04","03"
"9000013002","02",5409.5145725,0,19360.0949193166,42,"01","01","01","01","01",-9,"02","02","01","02","02","01","07","02","02","02","02","02","01","02","-1",-1,-1,-1,-1,"-1",-1,3,-1,-1,"02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","02","-1","01","-1",55,"02","-1","01","04","-1","-1","02","-1","-1","-1","-1",12,12,0,0,0,0,2,0,1,"02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","01","-1","-1","-1",-1,"-1","-1","03","-1","03","02","02","-1","-8","-1",3,"01",2,"01","01","01","01","02",2,"11","11","01",4,2,"04","01","05","01","01","04","01","202202",1,"1021","11","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","04","20","04","02","05","05","04","03"
"9000013002","03",3013.5821629,0,7285.04499424843,8,"-7","02","-1","-1","01",-1,"02","02","01","02","02","01","-1","-1","-1","-1","-1","-1","-1","-1","-1",-1,-1,-1,-1,"-1",-1,-1,-1,-1,"-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","02","-1","-1","-1",-1,"-1","-1","-1","-1","-1","-1","01","01","01","-1","01",-1,-1,-1,-1,-1,-1,-1,-1,-1,"02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","01","-1","-1","-1",-1,"-1","97","-1","02","02","02","-1","-1","-1","-1",0,"01",2,"01","01","01","01","02",2,"11","11","01",4,2,"04","01","05","01","01","04","01","202202",1,"1021","11","-1","04","-1","-1","-1","-1","-1","-1","-1","20","04","02","05","05","04","03","04","20","04","02","05","05","04","03"
"9000013002","04",6214.1087396,0,27109.3368293983,5,"-7","02","-1","-1","01",-1,"02","02","01","02","02","01","-1","-1","-1","-1","-1","-1","-1","-1","-1",-1,-1,-1,-1,"-1",-1,-1,-1,-1,"-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","02","-1","-1","-1",-1,"-1","-1","-1","-1","-1","-1","01","01","01","-1","01",-1,-1,-1,-1,-1,-1,-1,-1,-1,"02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","01","-1","-1","-1",-1,"-1","-1","-1","02","02","02","-1","-1","-1","-1",2,"01",2,"01","01","01","01","02",2,"11","11","01",4,2,"04","01","05","01","01","04","01","202202",1,"1021","11","-1","04","-1","-1","-1","-1","-1","-1","-1","20","04","02","05","05","04","03","04","20","04","02","05","05","04","03"
"9000013016","01",3183.4208104,4177.2344524,0,32,"02","07","01","01","01",4.88245118144333,"02","02","01","02","01","-1","06","02","02","02","02","02","01","02","-1",-1,-1,-1,-1,"-1",-1,3,-1,-1,"01","02","02","02","02","02","02","01","02","02","01","02","-1","01","-1",30,"01","03","02","01","01","-1","02","-1","-1","-1","-1",10,8,2,-9,-9,-9,-9,2,1,"01","02","02","02","02","02","02","01","01","02","02","02","02","02","02","02","02","01","02","-1","-1",-1,"-1","-1","03","-1","03","01","02","-1","-8","-8",3,"02",2,"03","02","01","01","02",2,"13","07","01",2,1,"02","03","03","04","01","02","01","202202",2,"1021","07","02","-1","20","03","02","04","20","03","02","-1","-1","-1","-1","-1","-1","-1","03","80","07","03","08","90","07","06"
"9000013016","02",3213.6809958,4010.8099954,0,41,"01","01","01","01","01",-9,"02","02","01","02","02","01","04","02","02","02","02","02","01","02","-1",-1,-1,-1,-1,"-1",-1,4,-1,-1,"01","02","02","02","02","02","02","02","02","02","01","02","-1","01","-1",40,"02","-1","03","04","-1","-1","02","-1","-1","-1","-1",10,8,2,-9,-9,-9,3,-9,-9,"02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","01","-1","-1","-1",-1,"-1","-1","03","-1","03","01","01","-1","01","-8",3,"01",2,"03","02","01","01","02",2,"13","07","01",2,1,"02","03","03","04","01","02","01","202202",2,"1021","07","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","03","80","07","03","08","90","07","06"
"9000013026","01",7727.2668272,11702.30262,0,44,"01","07","01","01","01",-9,"02","02","01","02","01","-1","08","02","01","02","01","02","01","02","-1",-1,6,-1,5,"01",-1,15,-1,-1,"02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","02","-1","01","-1",40,"02","-1","03","04","-1","-1","02","-1","-1","-1","-1",10,6,4,1,-9,-9,-9,1,-9,"02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","01","-1","-1","-1",-1,"-1","05","03","-1","03","01","02","-1","01","02",0,"01",1,"03","01","01","01","02",1,"11","10","01",1,0,"01","01","05","03","01","04","01","202202",1,"1021","10","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","05","60","07","06","08","70","07","03"
"9000013039","01",12167.712239,12540.688961,0,38,"01","07","01","01","01",-9,"02","02","01","02","01","-1","06","02","02","02","02","02","01","02","-1",-1,-1,-1,-1,"-1",-1,5,-1,-1,"02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","02","-1","01","-1",40,"02","-1","03","04","-1","-1","01","03","-1","02","-1",10,8,2,0,0,0,0,0,0,"02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","01","02","-1","-1",-1,"-1","-1","03","02","04","01","02","-1","-1","02",2,"01",2,"03","01","01","01","02",2,"11","07","01",4,1,"06","01","04","05","01","04","01","202201",1,"1021","07","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","05","60","07","06","08","60","07","02"
"9000013039","02",3815.3063067,4166.3276779,0,37,"02","01","02","01","01",-1,"02","02","01","02","01","-1","06","02","02","02","02","02","01","02","-1",-1,-1,-1,-1,"-1",-1,3,-1,-1,"02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","02","-1","02","03",-1,"-1","-1","-1","-1","-1","-1","02","-1","-1","-1","-1",10,10,-9,-9,-9,0,0,2,0,"02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","01","-1","-1","-1",-1,"-1","07","-1","-1","03","01","-1","-1","-8","02",0,"02",2,"03","01","01","01","02",2,"11","07","01",4,1,"06","01","04","05","01","04","01","202201",1,"1021","07","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","05","60","07","06","08","60","07","02"
"9000013039","03",5129.0065593,6449.2933442,0,12,"01","02","-1","-1","01",-1,"02","02","01","02","02","01","-1","-1","-1","-1","-1","-1","-1","-1","-1",-1,-1,-1,-1,"-1",-1,-1,-1,-1,"-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","02","-1","-1","-1",-1,"-1","-1","-1","-1","-1","-1","01","01","02","-1","-1",-1,-1,-1,-1,-1,-1,-1,-1,-1,"02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","01","-1","-1","-1",-1,"-1","97","-1","04","04","04","-1","-1","-1","-1",0,"01",2,"03","01","01","01","02",2,"11","07","01",4,1,"06","01","04","05","01","04","01","202201",1,"1021","07","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","05","60","07","06","08","60","07","02"
